                  10 data_in: 0, data_out: 0, state: 000
                  20 data_in: 0, data_out: 0, state: 000
                  30 data_in: 1, data_out: 0, state: 000
                  40 data_in: 0, data_out: 0, state: 001
                  50 data_in: 1, data_out: 0, state: 010
                  60 data_in: 0, data_out: 0, state: 011
                  70 data_in: 1, data_out: 0, state: 100
                  80 data_in: 1, data_out: 0, state: 101
                  90 data_in: 0, data_out: 1, state: 110
                 100 data_in: 1, data_out: 0, state: 010
                 110 data_in: 0, data_out: 0, state: 011
                 120 data_in: 1, data_out: 0, state: 100
                 130 data_in: 1, data_out: 0, state: 101
                 140 data_in: 1, data_out: 1, state: 110
                 150 data_in: 0, data_out: 0, state: 001
                 160 data_in: 0, data_out: 0, state: 010
                 170 data_in: 0, data_out: 0, state: 000
                 180 data_in: 1, data_out: 0, state: 000
                 190 data_in: 0, data_out: 0, state: 001
                 200 data_in: 1, data_out: 0, state: 010
                 210 data_in: 0, data_out: 0, state: 011
                 220 data_in: 1, data_out: 0, state: 100
                 230 data_in: 1, data_out: 0, state: 101
                 240 data_in: 0, data_out: 1, state: 110
                 250 data_in: 0, data_out: 0, state: 010
