                  10 data_in: 0, data_out: 0, shift_regs: 0000000
                  20 data_in: 0, data_out: 0, shift_regs: 0000000
                  30 data_in: 1, data_out: 0, shift_regs: 0000001
                  40 data_in: 0, data_out: 0, shift_regs: 0000010
                  50 data_in: 1, data_out: 0, shift_regs: 0000101
                  60 data_in: 0, data_out: 0, shift_regs: 0001010
                  70 data_in: 1, data_out: 0, shift_regs: 0010101
                  80 data_in: 1, data_out: 0, shift_regs: 0101011
                  90 data_in: 0, data_out: 1, shift_regs: 1010110
                 100 data_in: 1, data_out: 0, shift_regs: 0101101
                 110 data_in: 0, data_out: 0, shift_regs: 1011010
                 120 data_in: 1, data_out: 0, shift_regs: 0110101
                 130 data_in: 1, data_out: 0, shift_regs: 1101011
                 140 data_in: 1, data_out: 1, shift_regs: 1010111
                 150 data_in: 0, data_out: 0, shift_regs: 0101110
                 160 data_in: 0, data_out: 0, shift_regs: 1011100
                 170 data_in: 0, data_out: 0, shift_regs: 0111000
                 180 data_in: 1, data_out: 0, shift_regs: 1110001
                 190 data_in: 0, data_out: 0, shift_regs: 1100010
                 200 data_in: 1, data_out: 0, shift_regs: 1000101
                 210 data_in: 0, data_out: 0, shift_regs: 0001010
                 220 data_in: 1, data_out: 0, shift_regs: 0010101
                 230 data_in: 1, data_out: 0, shift_regs: 0101011
                 240 data_in: 0, data_out: 1, shift_regs: 1010110
                 250 data_in: 0, data_out: 0, shift_regs: 0101100
